SUM of TEUs,,Type,,,,
Month of Date,Port,Export_Empty,Export_Loaded,Import_Empty,Import_Loaded,Total_TEU
February 2022 Total,,"1,284,293.95","754,453.00","52,038.60","2,020,504.85","4,111,290.40"
March 2022,"Charleston, SC","61,093.00","69,017.00","2,021.00","132,203.00","264,334.00"
,"Houston, TX","42,740.00","108,541.00","4,723.00","152,553.00","308,557.00"
,"Long Beach, CA","310,094.00","114,185.00","11,597.00","427,280.00","863,156.00"
,"Los Angeles, CA","349,116.95","111,781.25","2,580.05","495,195.80","958,674.05"
,"NWSA (Seattle & Tacoma, WA)","77,788.00","54,740.00","7,522.00","126,211.00","266,261.00"
,"Oakland, CA","36,832.00","69,878.00","13,479.00","94,271.00","214,460.00"
,Port of NY & NJ,"298,515.00","119,248.00","1,378.00","442,976.00","862,117.00"
,"Port of Virginia, VA","66,771.00","95,803.00","3,192.00","148,932.00","314,698.00"
,"Savannah, GA","118,971.00","109,372.00","5,050.00","211,297.00","444,690.00"
March 2022 Total,,"1,361,920.95","852,565.25","51,542.05","2,230,918.80","4,496,947.05"
April 2022,"Charleston, SC","66,405.00","55,571.00","1,392.00","140,730.00","264,098.00"
,"Houston, TX","43,155.00","114,860.00","13,513.00","162,965.00","334,493.00"
,"Long Beach, CA","285,145.00","121,876.00","12,895.00","400,803.00","820,719.00"
,"Los Angeles, CA","329,215.30","99,878.00","1,594.50","456,669.55","887,357.35"
,"NWSA (Seattle & Tacoma, WA)","56,462.00","46,600.00","4,607.00","99,291.00","206,960.00"
,"Oakland, CA","20,365.00","65,834.00","17,993.00","84,303.00","188,495.00"
,Port of NY & NJ,"273,234.00","112,235.00","2,278.00","415,216.00","802,963.00"
,"Port of Virginia, VA","78,724.00","99,589.00","2,292.00","142,639.00","323,244.00"
,"Savannah, GA","116,946.00","125,330.00","6,330.00","247,177.00","495,783.00"
April 2022 Total,,"1,269,651.30","841,773.00","62,894.50","2,149,793.55","4,324,112.35"
May 2022,"Charleston, SC","73,638.00","53,312.00","1,835.00","126,320.00","255,105.00"
,"Houston, TX","56,741.00","106,358.00","13,469.00","158,798.00","335,366.00"
,"Long Beach, CA","325,105.00","118,234.00","10,673.00","436,977.00","890,989.00"
,"Los Angeles, CA","340,565.35","125,655.50","1,719.15","499,960.15","967,900.15"
,"NWSA (Seattle & Tacoma, WA)","80,774.00","45,543.00","6,942.00","120,624.00","253,883.00"
,"Oakland, CA","35,188.00","75,067.00","15,254.00","98,789.00","224,298.00"
,Port of NY & NJ,"298,977.00","118,552.00","1,353.00","426,423.00","845,305.00"
,"Port of Virginia, VA","71,083.00","97,705.00","4,800.00","168,023.00","341,611.00"
,"Savannah, GA","137,907.00","122,287.00","5,686.00","253,508.00","519,388.00"
May 2022 Total,,"1,419,978.35","862,713.50","61,731.15","2,289,422.15","4,633,845.15"
June 2022,"Charleston, SC","59,788.00","44,694.00","1,653.00","90,090.00","196,225.00"
,"Houston, TX","53,392.00","102,889.00","9,764.00","157,778.00","323,823.00"
,"Long Beach, CA","289,788.00","115,303.00","14,644.00","415,677.00","835,412.00"
